target_label,standard_type,bao_label,molecule_chembl_id,scaffold_id,split
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL3137829,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL566315,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138060,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138046,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138036,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138054,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138311,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138327,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL270311,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138037,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138406,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138040,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138043,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138041,C1CCC2C(C1)CCC1C2CCC2C(CC3CC3)CCC21,development
fxr,EC50,single protein format,CHEMBL3138035,C1CCC2C(C1)CCC1C2CCC2C(CC3CC3)CCC21,development
fxr,EC50,single protein format,CHEMBL3138044,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138403,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138034,O=c1[nH]c(=O)n(CCCC2CCC3C2CCC2C4CCCCC4CCC32)o1,development
fxr,EC50,single protein format,CHEMBL3138058,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138038,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL193099,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL193148,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189944,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189425,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192701,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL447784,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189728,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190440,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190553,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190499,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL427528,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192772,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364810,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL194004,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL370742,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccn2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364289,C(=Cc1ccccn1)c1ccc(CNc2ccccc2)cc1,development
fxr,EC50,single protein format,CHEMBL372916,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2cncs2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192932,C(=Cc1cncs1)c1ccc(CNc2ccccc2)cc1,development
fxr,EC50,single protein format,CHEMBL365028,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL372258,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL187456,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL187456,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL187456,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL191097,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL364746,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190166,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL189930,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL188141,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL190844,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189224,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL189155,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL190421,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL364749,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL373308,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL191439,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL191578,O=C(C1CCCCC1)N(Cc1ccc(-c2ccc3c(c2)OCO3)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL371360,c1ccc(NCc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL371360,c1ccc(NCc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL191236,c1ccc(NCc2ccc(-c3ccc4c(c3)OCO4)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL371385,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192752,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL190566,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL426273,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL363212,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL192966,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190508,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL363132,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL192270,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192769,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190304,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL435492,O=C(c1ccccc1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189309,O=C(c1ccco1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190181,c1ccc(CNc2ccccc2)cc1,development
fxr,EC50,single protein format,CHEMBL189741,O=C(C1CCCCC1)N(Cc1ccc2c(c1)OCC=C2)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189265,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL191741,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL191984,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364008,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189897,O=C(C1CCCCC1)N(Cc1ccc(-c2cccs2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189685,O=C(C1CCCCC1)N(Cc1ccc(-c2cccs2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192070,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL440208,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192174,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192174,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL194054,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192852,O=C(C1CCCCC1)N(Cc1ccccc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189735,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189735,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL371414,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL371414,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL370479,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL370479,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL425374,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL425374,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL371346,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL371346,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL363873,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL363873,C(=Cc1ccc(CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190830,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL190830,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364915,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL364915,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL365791,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL365791,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL362898,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL362898,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL191379,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL191379,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL425555,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL425555,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL194104,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL194104,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364932,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364932,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189432,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL189432,c1ccc(NCc2ccc(-c3ccccc3)cc2)cc1,development
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL189941,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL364715,O=C(C1CCCCC1)N(Cc1ccc(-c2ccc3c(c2)OCO3)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL193020,O=C(C1CCCCC1)N(Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL566315,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL197473,O=C(C1CC1)N(Cc1ccc2c(c1)OCC=C2)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192966,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL197473,O=C(C1CC1)N(Cc1ccc2c(c1)OCC=C2)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL192966,O=C(C1CCCCC1)N(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466831,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL513828,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466868,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466867,C(=Cc1ccc(OCc2c(-c3ccccc3)noc2C2CCCC2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL468110,C(=Cc1ccc(OCc2c(-c3ccccc3)noc2C2CCC2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL467906,C(=Cc1ccc(OCc2conc2C2CC2c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL468734,C(=Cc1ccc(OCc2conc2CSc2nnn[nH]2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466439,C(=Cc1ccc(OCc2conc2COc2cccc3ccccc23)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466232,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466641,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL467054,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL467053,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL523368,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL437481,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL522153,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL492963,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL494195,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL494194,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL495365,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL468939,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466227,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466026,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL511261,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL469128,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL512469,O=S(=O)(Cc1nocc1COc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL468714,C(=Cc1ccc(OCc2conc2C[SH+]c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466620,C(=Cc1ccc(OCc2conc2CNc2ccncc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466452,C(=Cc1ccc(OCc2conc2CNc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466451,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466248,C(=Cc1ccc(OCc2conc2COc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL466233,C(=Cc1ccc(OCc2cnoc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL513475,C(=Cc1ccc(OCc2cnoc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL467060,C(=Cc1ccc(OCc2conc2CCCc2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL469135,C(=Cc1ccc(OCc2conc2-c2ccncc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL558267,c1ccc(-c2cc3cc(OCc4conc4-c4ccccc4)ccc3s2)cc1,development
fxr,EC50,single protein format,CHEMBL560805,c1ccc(-c2cc3cc(OCc4conc4-c4ccccc4)ccc3s2)cc1,development
fxr,EC50,single protein format,CHEMBL558143,c1ccc(-c2cc3ccc(OCc4conc4-c4ccccc4)cc3s2)cc1,development
fxr,EC50,single protein format,CHEMBL551019,c1ccc(-c2cc3ccc(OCc4conc4-c4ccccc4)cc3s2)cc1,development
fxr,EC50,single protein format,CHEMBL551344,c1ccc(-c2nc3ccc(OCc4conc4-c4ccccc4)cc3s2)cc1,development
fxr,EC50,single protein format,CHEMBL558724,c1ccc(-c2cc3cc(OCc4conc4-c4ccccc4)ccc3[nH]2)cc1,development
fxr,EC50,single protein format,CHEMBL559554,c1ccc(-c2ccc3cc(OCc4conc4-c4ccccc4)ccc3c2)cc1,development
fxr,EC50,single protein format,CHEMBL551345,c1ccc(-c2ccc3cc(OCc4conc4-c4ccccc4)ccc3c2)cc1,development
fxr,EC50,single protein format,CHEMBL564917,O=C1c2ccc(OCc3conc3-c3ccccc3)cc2CN1c1ccccc1,development
fxr,EC50,single protein format,CHEMBL558662,O=C1Cc2cc(OCc3conc3-c3ccccc3)ccc2CN1c1ccccc1,development
fxr,EC50,single protein format,CHEMBL563241,c1ccc(-c2ccc3nc(NCc4conc4-c4ccccc4)sc3c2)cc1,development
fxr,EC50,single protein format,CHEMBL556311,c1ccc(-c2ccc3oc(CCc4conc4-c4ccccc4)nc3c2)cc1,development
fxr,EC50,single protein format,CHEMBL562086,c1ccc(Cn2ccc3cc(OCc4conc4-c4ccccc4)ccc32)cc1,development
fxr,EC50,single protein format,CHEMBL560147,c1ccc(Cn2ccc3cc(OCc4conc4-c4ccccc4)ccc32)cc1,development
fxr,EC50,single protein format,CHEMBL552352,c1ccc(Cc2c[nH]c3cc(OCc4conc4-c4ccccc4)ccc23)cc1,development
fxr,EC50,single protein format,CHEMBL562011,O=C(c1ccccc1)n1ccc2cc(OCc3conc3-c3ccccc3)ccc21,development
fxr,EC50,single protein format,CHEMBL2094007,c1ccc(Cc2c[nH]c3ccc(OCc4conc4-c4ccccc4)cc23)cc1,development
fxr,EC50,single protein format,CHEMBL554727,c1ccc(Nc2cccc3cc(OCc4conc4-c4ccccc4)ccc23)cc1,development
fxr,EC50,single protein format,CHEMBL559890,c1ccc(Nc2cccc3nc(CCc4conc4-c4ccccc4)oc23)cc1,development
fxr,EC50,single protein format,CHEMBL1209059,c1ccc(-c2nocc2COc2ccccn2)cc1,development
fxr,EC50,single protein format,CHEMBL1209060,c1ccc(-c2nocc2COc2ccc3ccccc3n2)cc1,development
fxr,EC50,single protein format,CHEMBL1209061,c1ccc(-c2nocc2COc2ccccn2)cc1,development
fxr,EC50,single protein format,CHEMBL1209108,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209109,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209110,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209111,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209112,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209113,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209169,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209171,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209172,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209227,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)cn2)cc1,development
fxr,EC50,single protein format,CHEMBL1209228,c1ccc(CNc2ccc(OCc3conc3-c3ccccc3)cn2)cc1,development
fxr,EC50,single protein format,CHEMBL1209292,c1ccc(OCc2ccc(OCc3c(-c4ccccc4)noc3C3CC3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209293,c1ccc(OCc2ccc(OCc3c(-c4ccccc4)noc3C3CC3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209294,c1ccc(OCc2ccc(OCc3c(-c4ccccc4)noc3C3CC3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209364,c1ccc(OCc2ccc(OCc3c(-c4ccccc4)noc3C3CC3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL1209365,c1ccc(OCc2ccc(OCc3c(-c4ccccc4)noc3C3CC3)nc2)cc1,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL566315,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
