name,herb,lib_cid,lib_mw,lib_smiles,lib_formula,pubchem_cid,pubchem_formula,formula_match,cid_match,smiles_match_nonisomeric,smiles_match_isomeric,lib_has_stereo,pubchem_has_stereo,auto_status,auto_basis,manual_tier_pending
obtusin,Cassia obtusifolia(决明子),155380.0,344.3,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,C18H16O7,155380,C18H16O7,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
aurantio-obtusin,Cassia obtusifolia(决明子),155011.0,330.29,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,C17H14O7,155011,C17H14O7,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
chryso-obtusin,Cassia obtusifolia(决明子),155381.0,358.3,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC,C19H18O7,155381,C19H18O7,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
rubrofusarin,Cassia obtusifolia(决明子),72537.0,272.25,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,C15H12O5,72537,C15H12O5,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
puerarin,Pueraria lobata(葛根),5281807.0,416.4,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,C21H20O9,5281807,C21H20O9,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
ononin,Pueraria lobata(葛根),442813.0,430.4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C22H22O9,442813,C22H22O9,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
sarmentosin,Sedum sarmentosum(垂盆草),5281123.0,275.25,C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,C11H17NO7,5281123,C11H17NO7,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
hypophyllanthin,Phyllanthus niruri(叶下珠),182140.0,430.5,COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,C24H30O7,182140,C24H30O7,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
nirtetralin,Phyllanthus niruri(叶下珠),182644.0,430.5,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,C24H30O7,182644,C24H30O7,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
niranthin,Phyllanthus niruri(叶下珠),11575632.0,432.5,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,C24H32O7,11575632,C24H32O7,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
1-deoxynojirimycin,Morus alba(桑叶),29435.0,163.17,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,C6H13NO4,29435,C6H13NO4,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
oxyresveratrol,Morus alba(桑叶),5281717.0,244.24,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,C14H12O4,5281717,C14H12O4,True,True,False,True,False,False,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
astragalin,Morus alba(桑叶),5282102.0,448.4,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C21H20O11,5282102,C21H20O11,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
mulberrofuran G,Morus alba(桑叶),9959532.0,562.6,CC1=C[C@@H]2[C@@H]3[C@@H](C1)C4=C(C=C(C=C4)O)O[C@@]3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O,C34H26O8,9959532,C34H26O8,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
catechin,Polygonum cuspidatum(虎杖),9064.0,290.27,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,9064,C15H14O6,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
torachrysone,Polygonum cuspidatum(虎杖),5321977.0,246.26,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,C14H14O4,5321977,C14H14O4,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
