name,herb,smiles,mw,clogp,hbd,hba,rotb,tpsa,aromatic_oh_count,structural_alerts,polyphenol_ge4_line,lipid_like_triterpene_line,note
alisol B acetate,Alisma orientale(泽泻),C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,514.7,6.41,1,5,5,76.1,0,epoxide_3ring,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
16-oxo-alisol A,Alisma orientale(泽泻),C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1=O)C)C)(C)C)C)O,504.7,3.97,4,6,5,115.1,0,Michael_acceptor_enone_rough,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
alismol,Alisma orientale(泽泻),CC(C)C1=C[C@H]2[C@H](CC[C@@]2(C)O)C(=C)CC1,220.4,3.7,1,1,1,20.2,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
alismoxide,Alisma orientale(泽泻),CC(C)C1=C[C@H]2[C@@H](CC[C@]2(C)O)[C@](CC1)(C)O,238.4,2.89,2,2,1,40.5,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
obtusifolin,Cassia obtusifolia(决明子),CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,284.3,2.19,2,5,1,83.8,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
obtusin,Cassia obtusifolia(决明子),CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,344.3,2.21,2,7,3,102.3,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
aurantio-obtusin,Cassia obtusifolia(决明子),CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,330.3,1.9,3,7,2,113.3,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
chryso-obtusin,Cassia obtusifolia(决明子),CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC,358.3,2.51,1,7,4,91.3,1,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
rubrofusarin,Cassia obtusifolia(决明子),CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,272.3,2.67,2,5,1,79.9,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
toralactone,Cassia obtusifolia(决明子),CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,272.3,2.67,2,5,1,79.9,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
puerarin,Pueraria lobata(葛根),C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,416.4,0.39,6,9,3,160.8,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
daidzein,Pueraria lobata(葛根),C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,254.2,2.87,2,4,1,70.7,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
daidzin,Pueraria lobata(葛根),C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.4,0.34,5,9,4,149.8,1,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
genistin,Pueraria lobata(葛根),C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,0.05,6,10,4,170.0,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
formononetin,Pueraria lobata(葛根),COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.3,3.17,1,4,2,59.7,1,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
biochanin A,Pueraria lobata(葛根),COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,284.3,2.88,2,5,2,79.9,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
3'-methoxydaidzein,Pueraria lobata(葛根),COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,284.3,2.88,2,5,2,79.9,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
ononin,Pueraria lobata(葛根),COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,430.4,0.65,4,9,5,138.8,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
sarmentosin,Sedum sarmentosum(垂盆草),C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,275.3,-2.75,5,8,5,143.4,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
hypophyllanthin,Phyllanthus niruri(叶下珠),COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,430.5,3.65,0,7,8,64.6,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
nirtetralin,Phyllanthus niruri(叶下珠),COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,430.5,3.65,0,7,8,64.6,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
niranthin,Phyllanthus niruri(叶下珠),COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,432.5,3.75,0,7,12,64.6,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
1-deoxynojirimycin,Morus alba(桑叶),C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,163.2,-2.97,5,5,1,93.0,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
oxyresveratrol,Morus alba(桑叶),C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,244.2,2.68,4,4,2,80.9,4,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
astragalin,Morus alba(桑叶),C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,448.4,-0.24,7,11,4,190.3,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
moracin N,Morus alba(桑叶),CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)O)C,310.3,4.73,3,4,3,73.8,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
moracin M,Morus alba(桑叶),C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,242.2,3.22,3,4,1,73.8,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
mulberrofuran G,Morus alba(桑叶),CC1=C[C@@H]2[C@@H]3[C@@H](C1)C4=C(C=C(C=C4)O)O[C@@]3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O,562.6,7.1,5,8,2,132.8,5,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",triterpene/lipid-like (solubility&assay-artifact risk line),alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
piceid,Polygonum cuspidatum(虎杖),C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,390.4,0.45,6,8,5,139.8,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
catechin,Polygonum cuspidatum(虎杖),C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.3,1.55,5,6,1,110.4,4,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
torachrysone,Polygonum cuspidatum(虎杖),CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,246.3,2.77,2,4,2,66.8,2,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
