canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,tcm,n_active,MTS
C[C@H](O)[C@@H]1O[C@@H](OC2=C(C3=CC=C(O)C=C3)OC3=CC(O)=CC(O)=C3C2=O)[C@H](O)[C@@H]1O,5041-73-6,Aconitum brevicalcaratum|Ammodendron conollyi|Carduus nutans|Cirsium dipsacolepis|Cocculus diversifolius|Crinum kirkii|Croton rhamnifolius|Cytisus scoparius|Eria subsessilis|Fucus spiralis|Hypericum triquetrifolium|Isodon japonicus|Knightia deplanchei|Malva sylvestris|Mesembryanthemum anatomicum|Myrica multiflora|Nerium oleander|Ophiarthrum elegans|Parerythropodium fulvum|Plantago lanceolata|Ptilidium ciliare|Rhynchosporium orthosporum|Scutellaria seleriana|Solanum racemigerum|Streptomyces eurythermus|Teucrium pestalozzae|Trifolium apertum|Tripodanthus acutifolius|Veronica pectinata|Verpa digitaliformis|Viguiera annua,Shikimates and Phenylpropanoids,6.59,7.56,5.14,6.13,5.33,7.45,6.61,5.16,5.13,6.52,7.21,7.56,地耳草/田基黄,5,34.73
CC1(C)C=CC2=C(C=C(O)C3=C2OC=C(C2=CC=C(O)C=C2)C3=O)O1,Derrone,Bolusanthus speciosus|Dermatophyllum arizonicum|Derris robusta|Erycibe expansa|Erythrina senegalensis|Ficus nymphaeifolia|Glycyrrhiza glabra|Lupinus luteus|Maackia amurensis|Tephrosia purpurea|Ulex jussiaei|liquorice,Shikimates and Phenylpropanoids,6.78,7.61,5.23,6.27,6.74,7.08,5.83,5.14,5.16,6.5,7.16,7.61,甘草,5,34.71
COC1=CC(OC2=C(O)C(=O)C3=C(O)C(OC)=C(OC)C=C3O2)=CC=C1O,"3,5-dihydroxy-2-(4-hydroxy-3-methoxyphenoxy)-6,7-dimethoxychromen-4-one",Artemisia,Shikimates and Phenylpropanoids,6.67,7.55,5.06,5.96,5.4,5.98,6.64,6.54,5.1,7.18,7.13,7.55,茵陈/青蒿,5,34.58
CC1(C)C=CC2=C(C=C(O)C3=C2OC(C2=CC=C(O)C=C2)=CC3=O)O1,atalantoflavone,Absidia caerulea|Alsidium corallinum|Anthotroche myoporoides|Astragalus flexus|Atalantia buxifolia|Atalantia racemosa|Axinella weltneri|Boswellia papyrifera|Cestrum laevigatum|Citrus limon|Citrus medica|Citrus sinensis|Dactynotus ambrosiae|Erythrina vogelii|Galdieria sulphuraria|Helenium virginicum|Heliotropium digynum|Hypericum caprifoliatum|Lactococcus lactis|Lupinus argenteus|Morus alba|Morus mongolica|Nannoglottis ravida|Phyllidia ocellata|Solanum pennellii|Tephrosia linearis|Trifoliate orange|Ulex airensis|Ulex europaeus|Ulex europaeus subsp. europaeus|Ulmus pumila|ulex europaeus ssp. europaeus,Shikimates and Phenylpropanoids,6.77,7.59,4.98,6.19,6.64,7.07,5.87,5.38,5.16,6.51,7.14,7.59,地耳草/田基黄,5,34.58
COC1=CC(C(=O)OC2C3C=COC(C)C3C3(CO)OC23)=CC=C1O.OCC1OC(O)C(O)C(O)C1O,"[2-(hydroxymethyl)-10-methyl-3,9-dioxatricyclo[4.4.0.0^{2,4}]dec-7-en-5-yl] 4-hydroxy-3-methoxy-benzoate;6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",Panax quinquefolium|Picrorhiza kurrooa|Picrorhiza scrophulariiflora,Terpenoids,6.53,7.52,5.39,6.08,6.67,6.5,5.7,5.48,5.42,7.27,7.15,7.52,胡黄连,5,34.49
C=C(C)C(CCC(C)(C)O)CC1=C(O)C=C(OC)C2=C1O[C@H](C1=CC=C(O)C=C1O)CC2=O,"(2S)-2-(2,4-dihydroxyphenyl)-7-hydroxy-8-(5-hydroxy-5-methyl-2-prop-1-en-2-ylhexyl)-5-methoxy-2,3-dihydrochromen-4-one",Sophora flavescens,Shikimates and Phenylpropanoids,6.69,7.6,5.06,6.54,6.89,5.86,5.72,5.77,5.06,6.55,7.06,7.6,苦参/槐,5,34.27
C=C(C)[C@H](CCC(C)(C)O)CC1=C(O)C=C(OC)C2=C1O[C@H](C1=CC=C(O)C=C1O)CC2=O,Kurarinol,Abelia chinensis|Albizia julibrissin|Aplophyllum alberti-regelii|Asimina parviflora|Atraphaxis spinosa|Baccharis neglecta|Centaurea maculosa|Chondrodendron tomentosum|Clerodendrum bungei|Conus mus|Cordia leucocephala|Dendronephthya griffini|Diospyros assimilis|Dolabella californica|Embelia parviflora|Embelia schimperi|Ephedra sinica|Epilobium hirsutum|Eria anomala|Erysimum leptophyllum|Erythrina melanacantha|Esenbeckia leiocarpa|Euphorbia nematocypha|Faramea salicifolia|Gymnocalycium schickendantzii|Haplophyllum obtusifolium|Helichrysum tenuifolium|Hypericum styphelioides|Latrunculia magnifica|Lemaireocereus longispinus|Lycogala epidendrum|Lythrum salicaria|Monsonia senegalensis|Morella rubra|Myxococcus stipitatus|Onopordum acanthium|Pancratium sickenbergeri|Piper regnellii|Planchonia grandis|Plathymenia reticulata|Pteridium esculentum|Rhinella marina|Shigella dysenteriae|Simarouba glauca|Siphonaria capensis|Sophora flavescens|Syzygium polycephaloides|Theonella conica|Tricholoma columbetta|Vellozia nanuzae|Vernonia fagifolia,Shikimates and Phenylpropanoids,6.69,7.6,5.06,6.54,6.89,5.86,5.72,5.77,5.06,6.55,7.06,7.6,地耳草/田基黄,5,34.27
C=C(C)[C@H](CCC(C)(C)O)CC1=C(O)C=C(OC)C2=C1O[C@H](C1=CC=C(O)C=C1OC)CC2=O,HY-N7794,Abelia chinensis|Aplophyllum alberti-regelii|Asimina parviflora|Atraphaxis spinosa|Baccharis neglecta|Centaurea maculosa|Chondrodendron tomentosum|Clerodendrum bungei|Conus mus|Cordia leucocephala|Dendronephthya griffini|Diospyros assimilis|Dolabella californica|Embelia parviflora|Embelia schimperi|Ephedra sinica|Epilobium hirsutum|Eria anomala|Erysimum leptophyllum|Erythrina melanacantha|Esenbeckia leiocarpa|Euphorbia nematocypha|Faramea salicifolia|Gymnocalycium schickendantzii|Haplophyllum obtusifolium|Helichrysum tenuifolium|Hypericum styphelioides|Latrunculia magnifica|Lemaireocereus longispinus|Lycogala epidendrum|Lythrum salicaria|Monsonia senegalensis|Morella rubra|Myxococcus stipitatus|Onopordum acanthium|Pancratium sickenbergeri|Piper regnellii|Planchonia grandis|Plathymenia reticulata|Pteridium esculentum|Rhinella marina|Shigella dysenteriae|Simarouba glauca|Siphonaria capensis|Sophora flavescens|Syzygium polycephaloides|Theonella conica|Tricholoma columbetta|Vellozia nanuzae|Vernonia fagifolia,Shikimates and Phenylpropanoids,6.69,7.57,5.09,6.54,6.88,5.87,5.72,5.77,5.05,6.56,7.05,7.57,地耳草/田基黄,5,34.24
C=C(C)[C@@H](CCC(C)(C)O)CC1=C(O)C=C(OC)C2=C1O[C@@H](C1=CC=C(O)C=C1OC)CC2=O,,Sophora flavescens,Shikimates and Phenylpropanoids,6.69,7.57,5.09,6.54,6.88,5.87,5.72,5.77,5.05,6.56,7.05,7.57,苦参/槐,5,34.24
C=C(C)[C@H](CCC(C)(C)O)CC1=C(O)C=C(OC)C2=C1O[C@@H](C1=CC=C(O)C=C1OC)CC2=O,,Abelia chinensis|Aplophyllum alberti-regelii|Asimina parviflora|Atraphaxis spinosa|Baccharis neglecta|Centaurea maculosa|Chondrodendron tomentosum|Clerodendrum bungei|Conus mus|Cordia leucocephala|Dendronephthya griffini|Diospyros assimilis|Dolabella californica|Embelia parviflora|Embelia schimperi|Ephedra sinica|Epilobium hirsutum|Eria anomala|Erysimum leptophyllum|Erythrina melanacantha|Esenbeckia leiocarpa|Euphorbia nematocypha|Faramea salicifolia|Gymnocalycium schickendantzii|Haplophyllum obtusifolium|Helichrysum tenuifolium|Hypericum styphelioides|Latrunculia magnifica|Lemaireocereus longispinus|Lycogala epidendrum|Lythrum salicaria|Monsonia senegalensis|Morella rubra|Myxococcus stipitatus|Onopordum acanthium|Pancratium sickenbergeri|Piper regnellii|Planchonia grandis|Plathymenia reticulata|Pteridium esculentum|Rhinella marina|Shigella dysenteriae|Simarouba glauca|Siphonaria capensis|Sophora flavescens|Syzygium polycephaloides|Theonella conica|Tricholoma columbetta|Vellozia nanuzae|Vernonia fagifolia,Shikimates and Phenylpropanoids,6.69,7.57,5.09,6.54,6.88,5.87,5.72,5.77,5.05,6.56,7.05,7.57,地耳草/田基黄,5,34.24
C=C(C)[C@@H](/C=C/C(C)(C)O)CC1=C(O)C=C(O)C2=C1O[C@@H](C1=CC=C(O)C=C1OC)CC2=O,,Sophora leachiana,Shikimates and Phenylpropanoids,6.72,7.57,5.22,6.62,6.69,5.94,5.75,5.95,5.07,6.62,6.99,7.57,苦参/槐,5,34.22
C=C(C)[C@H](/C=C/C(C)(C)O)CC1=C(O)C=C(O)C2=C1O[C@@H](C1=CC=C(O)C=C1OC)CC2=O,,Sophora leachiana,Shikimates and Phenylpropanoids,6.72,7.57,5.22,6.62,6.69,5.94,5.75,5.95,5.07,6.62,6.99,7.57,苦参/槐,5,34.22
C=C(C)[C@H](CCC(C)(C)O)CC1=C(OC)C=C(O)C2=C1O[C@H](C1=CC=C(O)C=C1O)CC2=O,,Abelia chinensis|Aplophyllum alberti-regelii|Asimina parviflora|Atraphaxis spinosa|Baccharis neglecta|Centaurea maculosa|Chondrodendron tomentosum|Clerodendrum bungei|Conus mus|Cordia leucocephala|Dendronephthya griffini|Diospyros assimilis|Dolabella californica|Embelia parviflora|Embelia schimperi|Ephedra sinica|Epilobium hirsutum|Eria anomala|Erysimum leptophyllum|Erythrina melanacantha|Esenbeckia leiocarpa|Euphorbia nematocypha|Faramea salicifolia|Gymnocalycium schickendantzii|Haplophyllum obtusifolium|Helichrysum tenuifolium|Hypericum styphelioides|Latrunculia magnifica|Lemaireocereus longispinus|Lycogala epidendrum|Lythrum salicaria|Megaselia flavescens|Monsonia senegalensis|Morella rubra|Myxococcus stipitatus|Onopordum acanthium|Pancratium sickenbergeri|Piper regnellii|Planchonia grandis|Plathymenia reticulata|Pteridium esculentum|Rhinella marina|Shigella dysenteriae|Simarouba glauca|Siphonaria capensis|Sophora flavescens|Syzygium polycephaloides|Theonella conica|Tricholoma columbetta|Vellozia nanuzae|Vernonia fagifolia,Shikimates and Phenylpropanoids,6.7,7.6,5.05,6.52,6.73,5.9,5.72,5.79,5.06,6.62,7.01,7.6,地耳草/田基黄,5,34.17
C=C(C)C(CCC(C)(C)O)CC1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C=C1OC)CC2=O,KUSHENOL P,Sophora alopecuroides|Sophora flavescens,Shikimates and Phenylpropanoids,6.7,7.58,5.08,6.54,6.71,5.96,5.72,5.77,5.05,6.63,7.0,7.58,苦参/槐,5,34.16
C=C(C)[C@H](CCC(C)(C)O)CC1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C=C1OC)CC2=O,,Abelia chinensis|Aplophyllum alberti-regelii|Asimina parviflora|Atraphaxis spinosa|Baccharis neglecta|Centaurea maculosa|Chondrodendron tomentosum|Clerodendrum bungei|Conus mus|Cordia leucocephala|Dendronephthya griffini|Diospyros assimilis|Dolabella californica|Embelia parviflora|Embelia schimperi|Ephedra sinica|Epilobium hirsutum|Eria anomala|Erysimum leptophyllum|Erythrina melanacantha|Esenbeckia leiocarpa|Euphorbia nematocypha|Faramea salicifolia|Gymnocalycium schickendantzii|Haplophyllum obtusifolium|Helichrysum tenuifolium|Hypericum styphelioides|Latrunculia magnifica|Lemaireocereus longispinus|Lycogala epidendrum|Lythrum salicaria|Monsonia senegalensis|Morella rubra|Myxococcus stipitatus|Onopordum acanthium|Pancratium sickenbergeri|Piper regnellii|Planchonia grandis|Plathymenia reticulata|Pteridium esculentum|Rhinella marina|Shigella dysenteriae|Simarouba glauca|Siphonaria capensis|Sophora flavescens|Syzygium polycephaloides|Theonella conica|Tricholoma columbetta|Vellozia nanuzae|Vernonia fagifolia,Shikimates and Phenylpropanoids,6.7,7.58,5.08,6.54,6.71,5.96,5.72,5.77,5.05,6.63,7.0,7.58,地耳草/田基黄,5,34.16
COC1=C([C@@H]2OC3=CC(O)=CC(O)=C3C(=O)[C@H]2O)C=CC2=C1C=CC(C)(C)O2,,Sophora tomentosa,Shikimates and Phenylpropanoids,6.73,7.59,5.27,6.25,6.58,5.75,6.67,5.2,5.06,6.52,7.0,7.59,苦参/槐,5,34.09
COC1=C([C@@H]2COC3=CC(O)=CC(O)=C3C2=O)C=CC2=C1C=CC(C)(C)O2,,Sophora tomentosa,Shikimates and Phenylpropanoids,6.54,7.54,5.2,6.16,6.68,5.68,6.69,5.12,5.07,6.6,6.97,7.54,苦参/槐,5,34.05
COC1=C(C[C@H](CC=C(C)C)C(C)(C)O)C(O)=CC2=C1C(=O)C[C@@H](C1=CC=C(O)C=C1O)O2,,Abelia chinensis|Aplophyllum alberti-regelii|Asimina parviflora|Atraphaxis spinosa|Baccharis neglecta|Centaurea maculosa|Chondrodendron tomentosum|Clerodendrum bungei|Conus mus|Cordia leucocephala|Dendronephthya griffini|Diospyros assimilis|Dolabella californica|Embelia parviflora|Embelia schimperi|Ephedra sinica|Epilobium hirsutum|Eria anomala|Erysimum leptophyllum|Erythrina melanacantha|Esenbeckia leiocarpa|Euphorbia nematocypha|Faramea salicifolia|Gymnocalycium schickendantzii|Haplophyllum obtusifolium|Helichrysum tenuifolium|Hypericum styphelioides|Latrunculia magnifica|Lemaireocereus longispinus|Lycogala epidendrum|Lythrum salicaria|Megaselia flavescens|Monsonia senegalensis|Morella rubra|Myxococcus stipitatus|Onopordum acanthium|Pancratium sickenbergeri|Piper regnellii|Planchonia grandis|Plathymenia reticulata|Pteridium esculentum|Rhinella marina|Shigella dysenteriae|Simarouba glauca|Siphonaria capensis|Sophora flavescens|Syzygium polycephaloides|Theonella conica|Tricholoma columbetta|Vellozia nanuzae|Vernonia fagifolia,Shikimates and Phenylpropanoids,6.71,7.6,5.14,6.54,6.68,5.71,5.66,5.69,5.06,6.5,7.0,7.6,地耳草/田基黄,5,34.03
COC1=CC(O)=C2C(=O)C(OC)=C(OC3=CC=C(OC)C(OC)=C3)OC2=C1,"2-(3,4-dimethoxyphenoxy)-5-hydroxy-3,7-dimethoxychromen-4-one",Artemisia,Polyketides,6.66,7.4,4.88,5.96,5.46,6.06,6.67,6.55,5.1,6.51,6.91,7.4,茵陈/青蒿,5,33.79
C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](COC(=O)C8=CC=C(O)C(O)=C8)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)C(C)(C)C5=CC[C@]43C)[C@H]12,,Aceriphyllum rossii|Agnorhiza bolanderi|Alligator mississippiensis|Anaxagorea clavata|Araujia sericifera|Aria pallescens|Arnica nevadensis|Artemisia monogyna|Bassia butyracea|Beyeria brevifolia|Bursaria spinosa|Chloranthus tianmushanensis|Chromolaena odorata|Chromolaena pulchella|Citrus reticulata|Citrus × deliciosa|Cladonia evansii|Clonostachys rosea|Coccus fagi|Dendrosenecio kilimanjari|Dipterocarpus alatus|Drosera peltata|Echinops amplexicaulis|Epaltes gariepina|Ficus formosana|Fusarium gibbosum|Gardenia fosbergii|Ilex affinis|Isodon kameba|Kaempferia pulchra|Lactarius scrobiculatus|Odixia angusta|Pheidole pallidula|Prosopis glandulosa|Prunus laurocerasus|Pseudopterogorgia kallos|Pteris prolifera|Pterocarpus grandiflorus|Pyrosoma giganteum|Quercus aegilops|Rhizobium phaseoli|Salvia officinalis|Securidaca inappendiculata|Senecio squalidus|Seriphidium cinum|Sesbania punicea|Simira eliezeriana|Stenostomum lucidum|Streptomyces althioticus|Taxodium mucronatum|Vitex madiensis,Terpenoids,6.66,7.32,5.52,7.4,5.42,5.7,6.03,6.29,5.54,7.72,7.48,7.72,香茶菜/冬凌草,4,29.1
CC(C)=CCC1=C2OC(C)(C)C=CC2=C2OC(C3=CC=C(O)C(O)=C3)=CC(=O)C2=C1O,,Acanthophyllum sordidum|Aconitum habaense|Aconitum tanguticum|Aphelandra chamissoniana|Bougainvillea glabra|Bryopsis pennata|Ficus beecheyana|Ficus erecta var. beecheyana|Flammulina velutipes|Lecidea carpathica|Lyophyllum connatum|Panax spinosus|Polyalthia stenopetala|Pseudotsuga japonica|Pyropia tenera|Roemeria refracta|Strophanthus hispidus|Strychnos henningsii|Vernonia scorpioides,Shikimates and Phenylpropanoids,6.73,7.79,4.93,6.26,5.69,7.15,5.77,5.82,5.23,7.37,7.44,7.79,人参/三七,4,29.04
COC1=CC(C2=COC3=C(CC=C(C)C)C4=C(C=CC(C)(C)O4)C(O)=C3C2=O)=CC=C1O,Flemiphilippinin C,Acacia dealbata|Flemingia Macrophylla|Flemingia macrophylla|Flemingia philippinensis|Prunus armeniaca|Prunus domestica|Ranunculus acris|Sambucus nigra|Senecio oryzetorum|Senecio scandens|Senecio vulgaris|Tagetes erecta|Taraxacum officinale,Shikimates and Phenylpropanoids,6.75,7.7,5.32,6.29,5.6,7.37,5.74,5.83,5.28,7.2,7.42,7.7,蒲公英,4,29.02
COC1=C(C2=CC=C(O)C(O)=C2)OC2=C(CC=C(C)C)C3=C(C=CC(C)(C)O3)C(O)=C2C1=O,Broussoflavonol A,Broussonetia Papyrifera|Broussonetia papyrifera,Shikimates and Phenylpropanoids,6.74,7.71,5.22,6.24,5.52,7.37,5.78,5.79,5.28,7.15,7.41,7.71,构树,4,28.97
O=C(/C=C/C1=CC=C(O)C2=C1C=C(C1=CC=C(O)C(O)=C1)O2)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,Salvianolic acid C,Angelica keiskei|Gouania tomentosa|Origanum vulgare|Salvia Miltiorrhiza|Salvia bowleyana|Salvia cavaleriei|Salvia miltiorrhiza|Salvia prionitis|Spongia vermicularis,Shikimates and Phenylpropanoids,5.96,7.09,4.94,6.51,5.51,7.43,6.1,6.22,5.3,7.93,7.48,7.93,丹参,4,28.96
O=C(/C=C/C1=CC=C(O)C2=C1C=C(C1=CC=C(O)C(O)=C1)O2)OC(CC1=CC=C(O)C(O)=C1)C(=O)O,,Clerodendranthus spicatus|Salvia bowleyana|Salvia miltiorrhiza,Shikimates and Phenylpropanoids,5.96,7.09,4.94,6.51,5.51,7.43,6.1,6.22,5.3,7.93,7.48,7.93,丹参,4,28.96
CC(C)=CCC1=C2OC(C)(C)C=CC2=C(O)C2=C1OC=C(C1=CC=C(O)C(O)=C1)C2=O,AURICULASIN,Absidia caerulea|Alsidium corallinum|Anthotroche myoporoides|Astragalus flexus|Axinella weltneri|Dactynotus ambrosiae|Erythrina sigmoidea|Erythrina vogelii|Flemingia macrophylla|Flemingia philippinensis|Flemingia prostrata|Galdieria sulphuraria|Helenium virginicum|Heliotropium digynum|Hypericum caprifoliatum|Lactococcus lactis|Maclura cochinchinensis|Maclura pomifera|Millettia extensa|Millettia pachycarpa|Millettia taiwaniana|Nannoglottis ravida|Ormosia monosperma|Phyllidia ocellata,Shikimates and Phenylpropanoids,6.76,7.73,5.38,6.16,5.6,7.09,5.72,5.64,5.3,7.31,7.38,7.73,地耳草/田基黄,4,28.89
C[C@H](CO)CC[C@H](O)[C@@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@H](O)[C@@H](O)C[C@@]4(C)[C@H]3CC[C@@]12C,Inokosterone,Achyranthes bidentata|Achyranthes fauriei|Achyranthes japonica|Lloydia serotina|Polypodium virginianum|Polypodium vulgare,Terpenoids,7.24,7.34,4.44,7.59,5.07,5.58,5.51,6.68,5.22,5.85,7.39,7.59,牛膝,4,28.85
