identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0283894.1,C[C@@]12CCC[C@]3(C)C4=CC5=C(O)C=CC(O)=C5C=C4C(=O)[C@](O)(OC1)[C@H]23,Alisiaquinol,Benzenoids,Terpenoids,Diterpenoids,Podocarpane diterpenoids,unidentified sponge,10.1039/b906091j,unidentified sponge,Terpenoids,6.75,7.49,5.46,7.4,6.06,5.29,6.0,5.19,5.03,7.27,7.39,7.49,354.40200000000016,3.2302000000000026,3,5,2.0,9.61
CNP0167652.3,CC(=O)OC[C@H](CC1=CC=CC=C1)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CC=CC=C1,Aurantiamide acetate,Organic acids and derivatives,Amino acids and Peptides,Small peptides,Dipeptides,Acanthophora spicifera|Acorus calamus|Ageratum conyzoides|Albizia julibrissin|Arisaema amurense|Arisaema erubescens|Arisaema heterophyllum|Aspergillus|Aspergillus penicillioides|Aster tataricus|Daphne genkwa|Dichondra repens|Dioclea reflexa|Fallopia multiflora|Hypericum japonicum|Marine fungi|Orthosiphon aristatus|Orthosiphon grandiflorus|Picria felterrae|Pierreodendron kerstingii|Portulaca oleracea|Posoqueria latifolia|Pteris multifida|Sesamum orientale|Siegesbeckia pubescens|Sigesbeckia glabrescens|Zanthoxylum setulosum,10.1002/(sici)1099-1573(1998)12:1+<s164::aid-ptr285>3.0.co;2-g|10.1002/CHIN.199824188|10.1016/0031-9422(91)83202-V|10.1016/J.INTIMP.2014.10.006|10.1016/S0031-9422(00)90468-0|10.1016/S0031-9422(98)00322-7|10.1016/j.intimp.2014.10.006|10.1021/NP50041A043|10.1055/S-2006-960835|10.1080/14786419.2017.1361949|10.1093/GAO/9781884446054.ARTICLE.T047827|10.1248/CPB.48.1711|10.1271/BBB.65.1195|10.4268/CJCMM20101716,Acanthophora spicifera|Acorus calamus|Ageratum conyzoides|Albizia julibrissin|Arisaema amurense|Arisaema erubescens|Arisaema heterophyllum|Aspergillus|Aspergillus penicillioides|Aster tataricus|Daphne genkwa|Dichondra repens|Dioclea reflexa|Fallopia multiflora|Hypericum japonicum|Marine fungi|Orthosiphon aristatus|Orthosiphon grandiflorus|Picria felterrae|Pierreodendron kerstingii|Portulaca oleracea|Posoqueria latifolia|Pteris multifida|Sesamum orientale|Siegesbeckia pubescens|Sigesbeckia glabrescens|Zanthoxylum setulosum,Amino acids and Peptides,5.87,7.2,5.56,6.31,5.59,5.84,6.01,6.38,5.37,5.61,6.63,7.2,444.5310000000001,3.3183000000000016,2,4,3.0,9.61
CNP0185782.1,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@@]2(O)C3=CC(=O)C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"(14alpha,22e)-14-hydroxyergosta-7,22-diene-3,6-dione",Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Antrodia camphorata|Taiwanofungus camphoratus,10.1016/J.PHYTOCHEM.2012.08.011|10.1016/j.phytochem.2012.08.011,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,7.01,7.3,4.45,7.83,5.21,5.11,5.91,5.04,5.16,5.61,7.38,7.83,426.6410000000003,5.912800000000007,1,3,2.0,9.59
CNP0261264.2,C/C(=C\C=C\C(C)CCCC(C)CC(=O)C(O)C(C)Cl)CCCC1=COC=C1,,,Terpenoids,Sesterterpenoids,Norsesterterpenoids,Unknown-fungus sp.|unidentified sponge,10.1039/c39910000097|10.1039/np9931000497,Unknown-fungus sp.|unidentified sponge,Terpenoids,6.16,7.25,5.36,6.42,5.15,5.4,5.63,5.49,5.33,5.71,6.61,7.25,409.01000000000016,6.494700000000008,1,3,3.0,9.58
CNP0314421.1,CC1=C(O)C=C2C(=O)[C@]3(C[C@H]4C(C)(C)[C@@H](Cl)CC[C@]4(C)O)OC(C)(C)[C@H](Cl)C=C3C(=O)C2=C1O,"3-chloro-10a-(3-chloro-6-hydroxy-2,2,6-trimethylcyclohexylmethyl)-6,8-di-hydroxy-2,2,7-trimethyl-3,10a-dihydro-2H-benzo[g]chromene-5,10-dione",Organoheterocyclic compounds,Polyketides,,,Streptomyces CMS JV M18_3|Streptomyces CNQ-525(EF177816)|Streptomyces CNQ-595|Streptomyces sp.|Streptomyces sp. CNQ-525|Unknown-fungus sp.|unidentified species of Order Actinomycetales,10.1007/s10126-013-9493-4|10.1021/np058011z|10.1039/b603047p|10.1111/1462-2920.13700,Streptomyces CMS JV M18_3|Streptomyces CNQ-525(EF177816)|Streptomyces CNQ-595|Streptomyces sp.|Streptomyces sp. CNQ-525|Unknown-fungus sp.|unidentified species of Order Actinomycetales,Polyketides,6.46,7.67,4.1,6.22,5.36,5.23,5.8,5.27,5.16,6.76,6.96,7.67,511.4420000000003,5.051320000000007,3,6,2.5,9.57
CNP0116682.1,CC1(C)C=CC(=O)[C@@]2(C)OO[C@@H]3C[C@]12CC[C@]3(O)CO,"Merulin C, (rel)-",Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,Chamigrane sesquiterpenoids,Endophytic fungi,10.1021/np200491g,Endophytic fungi,Terpenoids,6.94,7.64,4.4,5.99,5.19,5.0,5.81,5.48,5.14,6.3,6.96,7.64,282.33599999999996,1.1342999999999999,2,5,2.5,9.57
CNP0082263.1,C/C1=C/[C@@H](C)C/C=C\[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](C(O)C4=CNC5=CC=CC=C45)NC(=O)[C@]32C(=O)CC[C@H](O)C1=O,Oxichaetoglobosin A/B,Alkaloids and derivatives,Alkaloids,Pseudoalkaloids,Cytochalasan alkaloids,Unknown-fungus sp.,10.1021/acs.jnatprod.8b00110,Unknown-fungus sp.,Alkaloids,6.66,7.79,5.62,7.63,5.46,5.51,5.58,5.4,5.18,5.83,7.36,7.79,546.6640000000003,3.5473000000000012,4,6,2.0,9.57
CNP0236852.0,OC1=CC=C(OC2=CC=C(Br)C=C2Br)C=C1Br,"2-bromo-4-(2,4-dibromophenoxy)phenol",Benzenoids,Shikimates and Phenylpropanoids,Diphenyl ethers (DPEs),Marine-bacterial DPEs,unidentified species of Family Corallinaceae,10.1039/b603047p,unidentified species of Family Corallinaceae,Shikimates and Phenylpropanoids,6.43,6.91,5.17,5.84,5.18,6.33,6.97,6.57,5.47,8.05,7.31,8.05,422.89799999999997,5.472000000000002,1,2,2.0,9.5
CNP0306218.1,C=C1CC[C@H](Cl)C(C)(C)[C@@H]1C[C@@]12OC(C)(C)[C@H](Cl)C=C1C(=O)C1=C(C=C(O)C(C)=C1O)C2=O,"3-chloro-10a-(3-chloro-6-hydroxy-2,2,6-trimethylcyclohexylmethyl)-6,8-dihydroxy-2,2,7-trimethyl-3,4,4a,10a-tetrahydro-2H-benzo[g]-chromene-5,10-dione",Organoheterocyclic compounds,Polyketides,,,Streptomyces sp.|Unknown-fungus sp.|unidentified species of Order Actinomycetales,10.1021/np058011z|10.1039/b603047p,Streptomyces sp.|Unknown-fungus sp.|unidentified species of Order Actinomycetales,Polyketides,6.31,7.66,4.09,5.87,5.41,5.22,5.78,5.33,5.15,6.75,6.91,7.66,493.42700000000025,5.856520000000007,2,5,2.5,9.5
CNP0110593.2,CC1(C)CCC(=O)[C@@]2(C)OO[C@H]3C[C@@]12CC[C@@]3(O)CO,"Merulin B, (rel)-",Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,Chamigrane sesquiterpenoids,Endophytic fungi,10.1021/np200491g,Endophytic fungi,Terpenoids,6.87,7.69,4.4,6.09,5.18,4.92,5.92,5.51,5.23,6.14,6.9,7.69,284.352,1.3583,2,5,2.5,9.49
CNP0245531.2,O=C1CC[C@]23OC4=C5C(=C(O)C=C4)[C@@H](O)[C@H]4O[C@H]4[C@@]5(OC4=CC=CC1=C42)O3,Ymf 1029D,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Lasiodiplodia theobromae|Lasiodiplodia theobromae ZJ-HQ1|Strychnos angustiflora|Unknown-fungus sp. 1.01029|ymf 1.01029,10.1016/J.BMCL.2016.08.019|10.1016/j.bmcl.2016.08.019|10.1021/ACS.JNATPROD.6B00639|10.1021/acs.jnatprod.6b00639|10.1021/np800034g,Lasiodiplodia theobromae|Lasiodiplodia theobromae ZJ-HQ1|Strychnos angustiflora|Unknown-fungus sp. 1.01029|ymf 1.01029,Polyketides,6.84,7.67,5.29,5.78,5.44,5.23,5.86,5.38,5.13,7.35,7.29,7.67,366.32500000000016,1.9903,2,7,2.0,9.48
CNP0229584.1,O=C(O)C(CC1=CC=C(O)C(O)=C1)OC(O)/C=C/C1=CC(O)C(O)C=C1,,,Shikimates and Phenylpropanoids,,,Clerodendranthus spicatus|Herba dracocephali tangutici|Lycopus lucidus|Mentha canadensis|Mentha haplocalyx|Perilla frutescens var. arguta|Picria felterrae|Rosmarinus officinalis|Salvia przewalskii|Schizonepeta tenuifolia,,Clerodendranthus spicatus|Herba dracocephali tangutici|Lycopus lucidus|Mentha canadensis|Mentha haplocalyx|Perilla frutescens var. arguta|Picria felterrae|Rosmarinus officinalis|Salvia przewalskii|Schizonepeta tenuifolia,Shikimates and Phenylpropanoids,6.34,7.12,5.39,6.71,6.66,5.99,5.83,5.89,5.17,7.94,7.26,7.94,364.3500000000001,0.20269999999999988,6,7,2.0,9.44
CNP0369520.1,O=C1C2=C(C3=NCCC4=CNC1=C34)[C@@]1(C=CN2)C=C(Br)[C@@H](O)[C@@H](Br)C1,epinardin C,Organoheterocyclic compounds,Alkaloids,Tryptophan alkaloids,Pyrroloquinoline alkaloids,unidentified sponge,10.1039/a815113y,unidentified sponge,Alkaloids,6.62,7.76,4.34,7.41,5.72,5.0,5.91,5.71,5.45,6.21,7.26,7.76,465.1450000000001,2.7205000000000004,3,4,2.0,9.44
CNP0298282.1,O=C1C2=C3C(=CC=C2)O[C@]24O[C@]3(OC3=C2C(=C(O)C=C3)[C@@H](O)[C@H]2O[C@H]24)[C@@H]2CCC[C@@]12O,Ymf 1029E,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sp. 1.01029|ymf 1.01029,10.1021/np800034g,Unknown-fungus sp. 1.01029|ymf 1.01029,Polyketides,6.8,7.65,5.32,5.79,5.35,5.13,5.85,5.85,5.1,7.34,7.26,7.65,422.3890000000001,1.7412999999999998,3,8,2.0,9.44
CNP0609715.0,O=C1CCC2C3CC4=CC=C(O)C5=C4C2(CCN3)C1O5,,,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,Rosmarinus officinalis,10.1590/S0101-20612008000200030,Rosmarinus officinalis,Alkaloids,6.92,7.58,5.58,5.69,5.58,5.11,5.82,5.53,5.03,7.28,7.26,7.58,271.316,1.2880999999999998,2,4,2.0,9.44
CNP0132431.0,COC1=CC=CC2=C1C(O)=CC1=C2OC(=O)C(C)=C1,7-O Methyl Neolambertellin,Organoheterocyclic compounds,Polyketides,Naphthalenes,Naphthalenes and derivatives,Coccomyces proteae|Endophytic fungi,10.1016/j.bmcl.2012.07.075,Coccomyces proteae|Endophytic fungi,Polyketides,6.39,7.56,5.07,6.04,5.21,6.01,6.04,5.34,5.23,6.64,6.86,7.56,256.25699999999995,2.968820000000001,1,4,2.5,9.43
CNP0327299.1,C=C(CO)[C@@]12O[C@@H]1[C@@]1(C)C(=CC2=O)[C@H](OC(=O)C(O)(CO)CC(C)CC(C)CC)CC[C@@H]1C,Xylarenone D,Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,Eremophilane sesquiterpenoids,Camarops|Camarops sp.|Endophytic fungi,10.1021/NP400825S|10.1021/np1005983|10.1021/np400825s,Camarops|Camarops sp.|Endophytic fungi,Terpenoids,6.64,7.45,4.51,6.45,5.3,5.77,5.46,5.99,5.15,5.81,6.85,7.45,464.59900000000033,2.7154,3,7,2.5,9.42
CNP0106510.1,CC1=CC(O)=C2C(=O)C3=C(C[C@H](O)[C@H](O)[C@@H]3O)C(=O)C2=C1,PLEOSPORONE,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Anthyllis vulneraria|Phaeosphaeria|Phaeosphaeria sp.|Pleospora|Streptomyces lucensis|Streptomyces lucensis MA-7349|Streptomyces lucensis MA7349|Unknown-fungus endophyte MF7028,10.1016/J.BMC.2008.04.018|10.1016/j.bmc.2008.04.018|10.1021/NP8001833|10.1021/NP8005106|10.1021/np8001833,Anthyllis vulneraria|Phaeosphaeria|Phaeosphaeria sp.|Pleospora|Streptomyces lucensis|Streptomyces lucensis MA-7349|Streptomyces lucensis MA7349|Unknown-fungus endophyte MF7028,Polyketides,6.27,7.59,4.35,5.64,5.35,5.54,5.92,5.2,5.07,6.68,6.85,7.59,290.271,-0.13738000000000006,4,6,2.5,9.42
CNP0389619.0,CC1=CC2=CC(O)=CC(O)=C2C(=O)O1,1204-37-1,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Artemisia gilvescens|Aster conspicuus|Aurapex penicillata|Bryophyllum calycinum|Ceratocystis fimbriata|Ceratocystis ips|Ceratocystis minor|Cheilanthes chusana|Clitocybula oculus|Colletotrichum lagenarium|Conoideocrella tenuis|Crotalaria ferruginea|Datura stramonium|Endophytic fungi|Kleinia tomentosa|Melanocarpus albomyces|Murrayella periclados|Oenanthe fistulosa|Papulaspora immersa|Picris evae|Senna didymobotrya|Sorocea ilicifolia|Streptomyces|Streptomyces ANK 302|Streptomyces eurocidicus|Streptomyces microflavus|Streptomyces sp. ANK302|Streptomyces sp. MBT76-1|Torrubiella tenuis BCC12732|Xylariaceae sp. CR1546C|Zanthoxylum parviflorum|torrubiella tenuis bcc 12732,10.1002/cbdv.201000011.|10.1016/0031-9422(96)00166-5|10.1016/S0031-9422(00)94393-0|10.1016/j.bmcl.2012.07.075|10.1021/ACS.JNATPROD.6B00478|10.1021/NP900082H|10.1021/acs.jnatprod.6b00478|10.1021/acschembio.9b00049|10.1021/np900082h|10.1139/V86-149|10.1139/V87-130|10.3184/174751914X14175406270662|10.7164/ANTIBIOTICS.47.541,Artemisia gilvescens|Aster conspicuus|Aurapex penicillata|Bryophyllum calycinum|Ceratocystis fimbriata|Ceratocystis ips|Ceratocystis minor|Cheilanthes chusana|Clitocybula oculus|Colletotrichum lagenarium|Conoideocrella tenuis|Crotalaria ferruginea|Datura stramonium|Endophytic fungi|Kleinia tomentosa|Melanocarpus albomyces|Murrayella periclados|Oenanthe fistulosa|Papulaspora immersa|Picris evae|Senna didymobotrya|Sorocea ilicifolia|Streptomyces|Streptomyces ANK 302|Streptomyces eurocidicus|Streptomyces microflavus|Streptomyces sp. ANK302|Streptomyces sp. MBT76-1|Torrubiella tenuis BCC12732|Xylariaceae sp. CR1546C|Zanthoxylum parviflorum|torrubiella tenuis bcc 12732,Shikimates and Phenylpropanoids,6.4,7.56,4.42,6.33,5.08,5.64,6.01,5.1,4.99,6.6,6.85,7.56,192.16999999999996,1.51262,2,4,2.5,9.42
CNP0517370.0,CC(C)=CCOC1=CC=C(C2=C(CC(C)C)C(=O)NC2=O)C=C1,Antrodin B,Benzenoids,Alkaloids,,,Antrodia camphorata|Antrodia cinnamomea|Antrodia salmonea|Taiwanofungus camphoratus|Taiwanofungus salmoneus,10.1002/JCCS.200800127|10.1021/NP030293K|10.1021/NP070634K|10.1021/np030293k,Antrodia camphorata|Antrodia cinnamomea|Antrodia salmonea|Taiwanofungus camphoratus|Taiwanofungus salmoneus,Alkaloids,6.82,7.63,5.46,6.28,6.0,7.26,5.84,5.74,5.16,5.58,7.24,7.63,313.397,3.487700000000002,1,3,2.0,9.41
CNP0350793.1,CC1(C)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)C3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)C[C@H](O)[C@@]4(C)[C@]3(C)CC[C@@H]12,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.7,7.57,4.47,7.43,5.15,5.56,5.95,5.53,5.09,5.94,7.23,7.57,648.8340000000002,3.207600000000001,6,9,2.0,9.4
CNP0258772.1,CC1=C[C@H]2C[C@@H](C)CC[C@@H]2[C@@](C)(C(=O)C2=C(O)[C@@H](CO)N(C)C2=O)[C@H]1/C=C/C=C/C[C@@H](C)O,"(2R)-4-[(1R,2S,4aR,6S,8aS)-2-[(1E,3E,6R)-6-hydroxyhepta-1,3-dienyl]-1,3,6-trimethyl-4a,5,6,7,8,8a-hexahydro-2H-naphthalene-1-carbonyl]-3-hydroxy-2-(hydroxymethyl)-1-methyl-2H-pyrrol-5-one",Organoheterocyclic compounds,Amino acids and Peptides,Cyclic polyketides,3-Decalinoyltetramic acids,Endophytic fungal NRRL 50135,10.1021/np500617u,Endophytic fungal NRRL 50135,Amino acids and Peptides,6.79,7.35,5.79,5.85,5.46,4.98,5.59,5.54,5.21,6.35,6.83,7.35,457.6110000000002,3.7186000000000026,3,5,2.5,9.39
CNP0132714.1,CC(C)=CCC[C@@](C)(O)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=CC(=CC=C2O)C(=O)O1,"(4S)-15-hydroxy-4-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-7,11-dimethyl-3-oxabicyclo[12.3.1]octadeca-1(17),7,11,14(18),15-pentaen-2-one",Benzenoids,Terpenoids,,,macroalgae,10.1016/j.bmcl.2010.08.031,macroalgae,Terpenoids,6.54,7.69,5.34,6.03,5.43,6.05,5.77,5.36,5.19,7.44,7.22,7.69,426.59700000000015,6.424100000000007,2,4,2.0,9.39
CNP0255826.5,O=C1CCCN2[C@@H](CC1)C[C@]13CN4CCCC/C=C\CCC(O)(C=C(C5=NC=CC6=C5NC5=C(O)C=CC=C56)C1CC4)[C@H]23,"(2~{R},4~{S},12~{R},16~{Z})-13-hydroxy-25-(8-hydroxy-9~{H}-pyrido[3,4-b]indol-1-yl)-11,22-diazapentacyclo[11.11.2.1^{2,22}.0^{2,12}.0^{4,11}]heptacosa-16,25-dien-7-one",Alkaloids and derivatives,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Acanthostrongylophora sp.|sponge sp.|xestospongia ashmorica,10.1021/np020592u|10.1021/np0400095|10.1021/np0601399|10.1021/np9604083,Acanthostrongylophora sp.|sponge sp.|xestospongia ashmorica,Alkaloids,6.8,7.94,5.75,6.04,5.93,5.16,5.96,6.52,5.27,6.93,7.22,7.94,580.7730000000001,5.9644000000000075,3,6,2.0,9.39
CNP0255826.4,O=C1CCCN2[C@@H](CC1)C[C@]13CN4CCCC/C=C\CCC(O)(C=C(C5=NC=CC6=C5NC5=C(O)C=CC=C56)[C@@H]1CC4)[C@H]23,"(1~{R},2~{R},4~{S},12~{R},16~{Z})-13-hydroxy-25-(8-hydroxy-9~{H}-pyrido[3,4-b]indol-1-yl)-11,22-diazapentacyclo[11.11.2.1^{2,22}.0^{2,12}.0^{4,11}]heptacosa-16,25-dien-7-one",Alkaloids and derivatives,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Indo-Pacific sponge (Unclassified)|Xestospongia,10.1016/0040-4020(95)95723-9|10.1016/0040-4039(88)85091-3|10.1021/acs.jnatprod.9b00577,Indo-Pacific sponge (Unclassified)|Xestospongia,Alkaloids,6.8,7.94,5.75,6.04,5.93,5.16,5.96,6.52,5.27,6.93,7.22,7.94,580.7730000000001,5.9644000000000075,3,6,2.0,9.39
