record_id,preferred_name,brd_id_raw,source_smiles_raw,inchikey,pubchem_cid,automatic_identity_status,manual_tier,review_status,formal_H1Valid_inclusion,formal_brd_id,control_or_candidate,supplementary_full54_summary,identity_risk,calculation_note
NP54-020,tormentic acid,tormentic_acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,OXVUXGFZHDKYLS-BLIWDXROSA-N,73193.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-021,alisol A,alisol_A,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1)C)C)(C)C)C)O,HNOSJVWYGXOFRP-UNPOXIGHSA-N,15558616.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-022,alisol B,alisol_B,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,GBJKHDVRXAVITG-UNPOXIGHSA-N,15558620.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-023,alisol C,alisol_C,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2=O)C)C)(C)C)C)O,DORJGGFFCMZTHW-KXVAGGRESA-N,101306923.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-024,alisol B acetate,alisol_B_acetate,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,NLOAQXKIIGTTRE-JSWHPQHOSA-N,14036811.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-025,16-oxo-alisol A,16-oxo-alisol_A,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1=O)C)C)(C)C)C)O,CUDQRGCYJUHPER-KXVAGGRESA-N,9983614.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-026,alismol,alismol,CC(C)C1=C[C@H]2[C@H](CC[C@@]2(C)O)C(=C)CC1,BUPJOLXWQXEJSQ-QLFBSQMISA-N,137357.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-027,alismoxide,alismoxide,CC(C)C1=C[C@H]2[C@@H](CC[C@]2(C)O)[C@](CC1)(C)O,IWQURBSTAIRNAE-BARDWOONSA-N,10988340.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-028,obtusifolin,obtusifolin,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,NYRXUBDGDSRBGB-UHFFFAOYSA-N,3083575.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-029,obtusin,obtusin,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,CFLNHFUPWNRWJA-UHFFFAOYSA-N,155380.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-030,aurantio-obtusin,aurantio-obtusin,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,RNXZPKOEJUFJON-UHFFFAOYSA-N,155011.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-031,chryso-obtusin,chryso-obtusin,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC,ZMDXTRSTKHTSCE-UHFFFAOYSA-N,155381.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-032,rubrofusarin,rubrofusarin,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,FPNKCZKRICBAKG-UHFFFAOYSA-N,72537.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-033,toralactone,toralactone,CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,WEHXAEGTVPWKDY-UHFFFAOYSA-N,5321980.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-034,puerarin,puerarin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,HKEAFJYKMMKDOR-VPRICQMDSA-N,5281807.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-035,daidzein,daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,5281708.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,yes,dai,disease_candidate,yes,高（来源/部位/分离物真实性未人工签核）,4-seed formal crystal-box result
NP54-036,daidzin,daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,KYQZWONCHDNPDP-QNDFHXLGSA-N,107971.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-037,genistin,genistin,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,ZCOLJUOHXJRHDI-CMWLGVBASA-N,5281377.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-038,formononetin,formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,HKQYGTCOTHHOMP-UHFFFAOYSA-N,5280378.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,yes,fmn,disease_candidate,yes,高（来源/部位/分离物真实性未人工签核）,4-seed formal crystal-box result
NP54-039,biochanin A,biochanin_A,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,WUADCCWRTIWANL-UHFFFAOYSA-N,5280373.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,yes,bca,disease_candidate,yes,高（来源/部位/分离物真实性未人工签核）,4-seed formal crystal-box result
NP54-040,3'-methoxydaidzein,3-methoxydaidzein,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,MUYAUELJBWQNDH-UHFFFAOYSA-N,5319422.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-041,ononin,ononin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,MGJLSBDCWOSMHL-MIUGBVLSSA-N,442813.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-042,sarmentosin,sarmentosin,C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,FWAYDNJCBHNWQD-JBWLPIRVSA-N,5281123.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-043,hypophyllanthin,hypophyllanthin,COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,LBJCUHLNHSKZBW-XGHQBKJUSA-N,182140.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-044,nirtetralin,nirtetralin,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,LHQDZANQXMRHIV-LZJOCLMNSA-N,182644.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-045,niranthin,niranthin,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,RCFGIEPQSDGMJJ-RTBURBONSA-N,11575632.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-046,1-deoxynojirimycin,1-deoxynojirimycin,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,LXBIFEVIBLOUGU-JGWLITMVSA-N,29435.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-047,oxyresveratrol,oxyresveratrol,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,PDHAOJSHSJQANO-OWOJBTEDSA-N,5281717.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-048,astragalin,astragalin,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,JPUKWEQWGBDDQB-QSOFNFLRSA-N,5282102.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-049,moracin N,moracin_N,CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)O)C,WBSCSIABHGPAMC-UHFFFAOYSA-N,641376.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,yes,mrn,disease_candidate,yes,高（来源/部位/分离物真实性未人工签核）,4-seed formal crystal-box result
NP54-050,moracin M,moracin_M,C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,LHPRYOJTASOZGJ-UHFFFAOYSA-N,185848.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-051,mulberrofuran G,mulberrofuran_G,CC1=C[C@@H]2[C@@H]3[C@@H](C1)C4=C(C=C(C=C4)O)O[C@@]3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O,MJJWBJFYYRAYKU-OPKNDJPNSA-N,9959532.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-052,piceid,piceid,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,HSTZMXCBWJGKHG-CUYWLFDKSA-N,5281718.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-053,catechin,catechin,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N,9064.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-054,torachrysone,torachrysone,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,BIJOPUWEMBBDEG-UHFFFAOYSA-N,5321977.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
