record_id,分子,来源药材,PubMed疾病检索命中数,PubMed机制检索命中数,疾病模型证据,疾病证据层级,直接靶点与功能证据,靶点证据层级,暴露与可开发性,计算支持,研究增量,保留或降级理由,证据状态,主要缺口
NP54-011,isovitexin,isovitexin,2,20,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中20条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-012,hyperoside,hyperoside,16,60,高脂高糖NAFLD大鼠、HFD NASH纤维化小鼠、LX2焦亡模型；摘要报告脂变/纤维化和肝酶改善,摘要级（A-tier升级，全文待核）,Flot2/TLR4/NLRP3焦亡；菌群/胆汁酸/脂质代谢；摘要称CETSA/ITC等需全文核验,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文、聚集/可测性核查,摘要级升级，非全文确认,摘要级本体证据，纤维化覆盖较好；直接结合条件未核实；来源/部位/纯度/PK未人工闭环
NP54-013,isoquercitrin,isoquercitrin,19,53,HFD-NASH小鼠、MCD脂肪性肝炎小鼠、IR-HepG2；摘要报告脂质/肝功能/炎症改善,摘要级（A-tier升级，全文待核）,galectin-3介导胰岛素抵抗/脂代谢；NLRP3-HSP90；AMPK/ACC线索,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文核查,摘要级升级，非全文确认,摘要级本体证据；需区分本体、α-glycosyl衍生物和提取物；来源/部位/纯度/PK未人工闭环
NP54-014,epicatechin,epicatechin,52,241,本轮精确PubMed检索命中52条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中241条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-015,procyanidin B2,procyanidin_B2,10,25,本轮精确PubMed检索命中10条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中25条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-016,ursolic acid,ursolic_acid,52,91,HFD MASLD/NASH小鼠及脂毒性细胞；摘要报告脂变、炎症/缺氧和肝病理改善,摘要级（A-tier升级，全文待核）,SPP1-ITGB1/CD44-ERK-Th17；decorin-IGF-IR/HIF-1；部分SPR/pull-down/Co-IP线索需全文核查,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文和可开发性复核,摘要级升级，非全文确认,摘要级本体证据；三萜溶解度/递送是主要风险；来源/部位/纯度/PK未人工闭环
NP54-017,oleanolic acid,oleanolic_acid,42,102,本轮精确PubMed检索命中42条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中102条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-018,corosolic acid,corosolic_acid,8,16,本轮精确PubMed检索命中8条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中16条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-019,maslinic acid,maslinic_acid,7,12,本轮精确PubMed检索命中7条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中12条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-020,tormentic acid,tormentic_acid,6,4,本轮精确PubMed检索命中6条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中4条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-021,alisol A,alisol_A,8,4,本轮精确PubMed检索命中8条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中4条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-022,alisol B,alisol_B,18,16,HFD-MASLD小鼠和肝细胞；DIO+CCl4、CDA饮食NASH小鼠；摘要报告脂变、炎症和纤维化改善,摘要级（A-tier升级，全文待核）,Ces2a-AMPK/自噬/脂肪酸氧化；RARα-HNF4α-PPARγ-CD36；需区分母体与AB23A衍生物,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文核查,摘要级升级，非全文确认,摘要级本体证据；NASH病理较强，但来源/剂量/样本量待全文；来源/部位/纯度/PK未人工闭环
NP54-023,alisol C,alisol_C,0,2,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中2条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-024,alisol B acetate,alisol_B_acetate,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-025,16-oxo-alisol A,16-oxo-alisol_A,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-026,alismol,alismol,2,0,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-027,alismoxide,alismoxide,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-028,obtusifolin,obtusifolin,1,2,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中2条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-029,obtusin,obtusin,9,3,本轮精确PubMed检索命中9条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中3条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-030,aurantio-obtusin,aurantio-obtusin,9,3,本轮精确PubMed检索命中9条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中3条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-031,chryso-obtusin,chryso-obtusin,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-032,rubrofusarin,rubrofusarin,4,3,本轮精确PubMed检索命中4条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中3条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-033,toralactone,toralactone,1,1,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-034,puerarin,puerarin,50,90,NASH小鼠、MAFLD小鼠、HFD-MASLD小鼠、AML12/巨噬细胞/斑马鱼；摘要报告肝病理、胶原/炎症或脂质改善,摘要级（A-tier升级，全文待核）,PAI-1-自噬-巨噬M2；SIRT1/Nrf2、铁死亡；肠道菌群/短链脂肪酸/屏障,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文和可测性复核,摘要级升级，非全文确认,摘要级本体证据较丰富；糖苷暴露和实验形式待核查；来源/部位/纯度/PK未人工闭环
NP54-035,daidzein,daidzein,44,90,CCl4/BDL纤维化小鼠及TGFβ1-LX2 HSC模型，抑制integrin αVβ1/YAP（PMID 40407304，摘要）；非代谢性损伤，不等于MASH,摘要/条件有限,Takeuchi 2009报告TRα/TRβ激动/拮抗均未见；Ariyani 2018报告genistein/daidzein增强T3-TR转录并直接作用TR-LBD（PMID 19182375/29688519，摘要级）；FXR单条件阴性记录来自旧矩阵，条件需全文复核,摘要/条件有限,本库无实测PK/肝暴露；异黄酮代谢/结合蛋白等缺口,"TRβ WT 3GWS派生受体，4种子中位=-9.601，范围=[-9.606,-9.595]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,降级：非代谢纤维化/机制对照，不列最终候选,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-036,daidzin,daidzin,9,16,本轮精确PubMed检索命中9条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中16条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-037,genistin,genistin,3,13,本轮精确PubMed检索命中3条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中13条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-038,formononetin,formononetin,13,41,MCD-NASH小鼠治疗性干预：ALT/AST、TG、肝脂变和FAO改善；SIRT1/PGC-1α/PPARα干预/抑制实验（PMID 38185065，摘要；MCD为非典型代谢模型）,全文,FXR直接结合/功能：SPR KD 1.323 μM、Ostβ报告基因EC50 0.1972 μM、SHP/Ostβ mRNA；CJNM 2024 DOI 10.1016/S1875-5364(24)60706-5正文全文；不是本项目新发现,全文,本库无实测PK/肝暴露；文献给药/制剂与本项目试剂纯度未闭环,"TRβ WT 3GWS派生受体，4种子中位=-9.072，范围=[-9.078,-9.046]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,保留：疾病锚/机制桥接候选,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-039,biochanin A,biochanin_A,11,35,DIO/HFD小鼠肝脂变、胰岛素抵抗和代谢通路改善（PMID 27145114；脂变级非MASH/NASH级）,全文,FXR SPR KD 0.347 μM、报告基因EC50 0.4441 μM及双功能/抗炎实验；CJNM 2024全文；应作为体系阳性对照，不占候选位,全文,动物膳食给药文献；本库无纯度/肝暴露/可购形式核验,"TRβ WT 3GWS派生受体，4种子中位=-9.255，范围=[-9.261,-9.211]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,保留：FXR体系阳性对照,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-040,3'-methoxydaidzein,3-methoxydaidzein,0,1,本轮PubMed精确疾病检索未找到MASH/NASH/NAFLD/MASLD直接模型；PMID 41344662为复方/药材成分与毒性暴露背景，PMID 9322358为QR分离研究，均非抗MASH疗效,摘要/条件有限,FXR/TR直接实验未找到；邻近异黄酮formononetin/biochanin A的FXR证据不能转移；为3'位甲氧基SAR探针,摘要/条件有限,无本体PK/肝暴露/溶解度实测；可开发性未知,"TRβ WT 3GWS派生受体，4种子中位=-9.741，范围=[-9.763,-9.727]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,降级：SAR负/正结果均有信息，但无疾病锚,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-041,ononin,ononin,6,6,本轮精确PubMed检索命中6条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中6条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-042,sarmentosin,sarmentosin,1,1,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-043,hypophyllanthin,hypophyllanthin,0,1,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
