assay_id,records,distinct_molecules,distinct_documents,activity_types,units,assay_format,family,document_years,description
CHEMBL2169046,2,2,1,Ki,nM,assay format,other_or_unknown,2011,Antagonist activity at recombinant FASN thioesterase domain by fluorogenic assay
CHEMBL5651415,2,2,1,Kd,nM,single protein format,other_or_unknown,2018,Binding affinity to human FASN incubated for 45 mins by Kinobead based pull down assay
CHEMBL960231,1,1,1,IC50,ug.mL-1,single protein format,other_or_unknown,2003,Inhibition of fatty acid synthase
CHEMBL985841,1,1,1,IC50,ug.mL-1,cell-based format,other_or_unknown,2003,Inhibition of FAS in human ZR-75-1 cells by spectrophotometry
CHEMBL2169021,1,1,1,IC50,nM,single protein format,other_or_unknown,2011,Reversible inhibition of human recombinant FASN ketoreductase site
CHEMBL2169038,1,1,1,IC50,nM,cell-based format,other_or_unknown,2011,Inhibition of FASN in human SKBR3 cells
CHEMBL2328950,1,1,1,IC50,nM,cell-based format,other_or_unknown,2013,Inhibition of FASN in human HeLa cells assessed as reduction of de novo synthesis of palmitate
CHEMBL3411206,1,1,1,IC50,nM,cell-based format,other_or_unknown,2015,Inhibition of FASN in human BxPC3 cells assessed as inhibition of [14C]acetate incorporation preincubated for 4 hrs before [14C]acetate addition measured after 2 hrs by scintillation counting
CHEMBL4123592,1,1,1,IC50,nM,single protein format,other_or_unknown,2018,Inhibition of human FASN KR-domain after 20 mins in presence of NADPH
CHEMBL4882378,1,1,1,IC50,nM,single protein format,other_or_unknown,2021,Human FAS enzyme assay
CHEMBL4882379,1,1,1,IC50,nM,assay format,other_or_unknown,2021,Inhibition of [14C]acetate incorporation into mouse N-42 cells
CHEMBL4882380,1,1,1,IC50,nM,cell-based format,other_or_unknown,2021,Inhibition of [14C]acetate incorporation into human H1975 cells
CHEMBL5210219,1,1,1,IC50,nM,assay format,other_or_unknown,2023,Affinity On-target Cellular interaction (Cellular activity assay (inhibition of [14C]acetate incorporation into human H1975 cells)) EUB0000294b FASN
CHEMBL5210491,1,1,1,IC50,nM,single protein format,other_or_unknown,2023,Affinity Biochemical interaction (Human FAS enzyme assay (measuring consumption of NADPH)) EUB0000294b FASN
CHEMBL5723241,1,1,1,IC50,nM,assay format,other_or_unknown,2024,Affinity Biochemical interaction: (enzymatic assay detecting released Coenzyme A) EUB0002242b FASN
CHEMBL5723552,1,1,1,IC50,nM,cell-based format,other_or_unknown,2024,"Affinity On-target Cellular interaction: (Inhibition of palmitate synthesis, A549 tumour cells) EUB0002749a FASN"
CHEMBL2169022,1,1,1,Ki,nM,assay format,other_or_unknown,2011,Antagonist activity at human recombinant FASN thioesterase domain by fluorogenic assay
CHEMBL3625454,1,1,1,Ki,nM,single protein format,other_or_unknown,2015,Inhibition of fatty acid synthase KE domain (unknown origin)
CHEMBL5112963,1,1,1,Ki,nM,single protein format,other_or_unknown,2022,Inhibition of human FASN enoyl reductase activity using crotonyl CoA as substrate assessed as inhibition of substrate hydrolysis measured every 1 min for 10 mins in the presence of NADPH by fluorescence based assay
